created_at,mac,rssi,interface
2022-04-06 12:10:27.588131,D8:01:00:07:6B:5C,-89,ESP32_2
2022-04-06 12:10:27.604411,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:10:27.760565,DC:2C:6E:18:84:EB,-86,ESP32_6
2022-04-06 12:10:28.988031,D8:01:00:07:6B:5C,-76,ESP32_6
2022-04-06 12:10:29.090403,D8:01:00:07:6B:5C,-75,ESP32_1
2022-04-06 12:10:29.167043,D8:01:00:07:6B:5C,-86,ESP32_3
2022-04-06 12:10:29.935802,DC:2C:6E:18:84:EB,-93,ESP32_2
2022-04-06 12:10:30.303336,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:10:31.152201,DC:2C:6E:18:84:EB,-95,ESP32_3
2022-04-06 12:10:31.476987,D8:01:00:07:6B:5C,-76,ESP32_6
2022-04-06 12:10:31.861586,DC:2C:6E:18:84:EB,-77,ESP32_1
2022-04-06 12:10:34.143981,D8:01:00:07:6B:5C,-95,ESP32_2
2022-04-06 12:10:34.784101,DC:2C:6E:18:84:EB,-86,ESP32_6
2022-04-06 12:10:35.326129,D8:01:00:07:6B:5C,-69,ESP32_1
2022-04-06 12:10:36.735963,D8:01:00:07:6B:5C,-98,ESP32_5
2022-04-06 12:10:38.803212,DC:2C:6E:18:84:EB,-95,ESP32_2
2022-04-06 12:10:39.774793,DC:2C:6E:18:84:EB,-88,ESP32_6
2022-04-06 12:10:40.586528,D8:01:00:07:6B:5C,-92,ESP32_2
2022-04-06 12:10:41.713529,DF:99:1C:50:22:47,-94,ESP32_3
2022-04-06 12:10:41.803335,DF:99:1C:50:22:47,-75,ESP32_1
2022-04-06 12:10:42.076560,D8:01:00:07:6B:5C,-77,ESP32_1
2022-04-06 12:10:43.151860,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:10:43.157959,D8:01:00:07:6B:5C,-84,ESP32_3
2022-04-06 12:10:44.704007,D8:01:00:07:6B:5C,-83,ESP32_3
2022-04-06 12:10:47.064720,D8:01:00:07:6B:5C,-89,ESP32_2
2022-04-06 12:10:47.278396,D8:01:00:07:6B:5C,-85,ESP32_5
2022-04-06 12:10:47.798976,DC:2C:6E:18:84:EB,-80,ESP32_5
2022-04-06 12:10:48.259346,D8:01:00:07:6B:5C,-76,ESP32_1
2022-04-06 12:10:48.669144,D8:01:00:07:6B:5C,-90,ESP32_3
2022-04-06 12:10:48.754217,DC:2C:6E:18:84:EB,-91,ESP32_6
2022-04-06 12:10:48.974561,DC:2C:6E:18:84:EB,-77,ESP32_1
2022-04-06 12:10:49.303661,DF:99:1C:50:22:47,-92,ESP32_5
2022-04-06 12:10:49.623240,D8:01:00:07:6B:5C,-77,ESP32_2
2022-04-06 12:10:49.631583,D8:01:00:07:6B:5C,-82,ESP32_5
2022-04-06 12:10:49.923562,DC:2C:6E:18:84:EB,-78,ESP32_1
2022-04-06 12:10:51.776373,DC:2C:6E:18:84:EB,-98,ESP32_5
2022-04-06 12:10:52.940210,DC:2C:6E:18:84:EB,-66,ESP32_1
2022-04-06 12:10:53.506653,D8:01:00:07:6B:5C,-92,ESP32_2
2022-04-06 12:10:53.509778,D8:01:00:07:6B:5C,-84,ESP32_5
2022-04-06 12:10:54.373183,DF:99:1C:50:22:47,-80,ESP32_1
2022-04-06 12:10:54.486948,DF:99:1C:50:22:47,-97,ESP32_3
2022-04-06 12:10:54.850964,D8:01:00:07:6B:5C,-89,ESP32_3
2022-04-06 12:10:54.857340,D8:01:00:07:6B:5C,-90,ESP32_7
2022-04-06 12:10:57.174193,DF:99:1C:50:22:47,-98,ESP32_3
2022-04-06 12:10:57.237412,DF:99:1C:50:22:47,-84,ESP32_1
2022-04-06 12:10:57.350564,D8:01:00:07:6B:5C,-91,ESP32_6
2022-04-06 12:10:57.371717,D8:01:00:07:6B:5C,-80,ESP32_1
2022-04-06 12:10:57.480517,D8:01:00:07:6B:5C,-85,ESP32_3
2022-04-06 12:10:59.611455,DF:99:1C:50:22:47,-85,ESP32_1
2022-04-06 12:10:59.861411,D8:01:00:07:6B:5C,-91,ESP32_2
2022-04-06 12:11:01.030374,DC:2C:6E:18:84:EB,-80,ESP32_1
2022-04-06 12:11:01.248191,D8:01:00:07:6B:5C,-80,ESP32_1
2022-04-06 12:11:01.960348,DC:2C:6E:18:84:EB,-80,ESP32_1
2022-04-06 12:11:02.314859,D8:01:00:07:6B:5C,-82,ESP32_1
