id,id_external,interface,ssid,mac,tx_rate,rx_rate,rx_signal,uptime,packets,bytes,tx_rate_set,created_at
18501339,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,104Mbps-20MHz/2S,-69,11m33s40ms,"442,476","166936,110207","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:42.084015
18501392,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,104Mbps-20MHz/2S,-70,11m43s40ms,"442,476","166936,110207","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:52.149640
18501399,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,15m34s600ms,"4438,3655","2196737,770656","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:52.278574
18501440,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,15m44s600ms,"4438,3666","2196737,771118","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:01.868178
18501444,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,78Mbps-20MHz/2S,-70,11m53s40ms,"444,478","168054,110377","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:01.898109
18501504,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,15m54s600ms,"4438,3672","2196737,771370","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:11.844185
18501519,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-70,12m3s40ms,"445,479","168110,110419","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:11.931229
18501580,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,16m4s610ms,"4438,3675","2196737,771496","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:21.920941
18501605,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-73,12m13s50ms,"445,479","168110,110419","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:22.016869
18501646,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-70,12m23s50ms,"445,479","168110,110419","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:31.896172
